id,city_area,city_name,state_name,country_name,zipcode,created_by
409,Refda,Ahmedabad,Gujarat,India,382255,1
410,Rethal,Ahmedabad,Gujarat,India,382110,1
411,Revdibazar,Ahmedabad,Gujarat,India,380002,1
412,Ribadi,Ahmedabad,Gujarat,India,382130,1
413,Rohika,Ahmedabad,Gujarat,India,382230,1
414,Rojid,Ahmedabad,Gujarat,India,382450,1
415,Rojka,Ahmedabad,Gujarat,India,382460,1
416,Ropda,Ahmedabad,Gujarat,India,382230,1
417,Rudatal,Ahmedabad,Gujarat,India,382120,1
418,Rupal,Ahmedabad,Gujarat,India,382220,1
419,Rupgadh,Ahmedabad,Gujarat,India,382240,1
420,S A C,Ahmedabad,Gujarat,India,380015,1
421,S A Mills,Ahmedabad,Gujarat,India,380008,1
422,Sabarmati,Ahmedabad,Gujarat,India,380005,1
423,Sachana,Ahmedabad,Gujarat,India,382150,1
424,Sadatpura,Ahmedabad,Gujarat,India,382120,1
425,Sahij,Ahmedabad,Gujarat,India,382225,1
426,Saijpur,Ahmedabad,Gujarat,India,382405,1
427,Saijpur Bogha,Ahmedabad,Gujarat,India,382345,1
428,Saiwada,Ahmedabad,Gujarat,India,382225,1
429,Salajada,Ahmedabad,Gujarat,India,382220,1
430,Salangpur Hanuman,Ahmedabad,Gujarat,India,382450,1
431,Salasar,Ahmedabad,Gujarat,India,382460,1
432,Sanand,Ahmedabad,Gujarat,India,382110,1
433,Sanathal,Ahmedabad,Gujarat,India,382210,1
434,Sandhida,Ahmedabad,Gujarat,India,382455,1
435,Sangasar,Ahmedabad,Gujarat,India,382463,1
436,Sangpura,Ahmedabad,Gujarat,India,382120,1
437,Sankod,Ahmedabad,Gujarat,India,382220,1
438,Sarandi,Ahmedabad,Gujarat,India,382225,1
439,Saraspur,Ahmedabad,Gujarat,India,380018,1
440,Sardarnagar,Ahmedabad,Gujarat,India,382475,1
441,Sargwala,Ahmedabad,Gujarat,India,382230,1
442,Sari,Ahmedabad,Gujarat,India,382220,1
443,Sarkhej,Ahmedabad,Gujarat,India,382210,1
444,Sarkhej GIDC,Ahmedabad,Gujarat,India,382210,1
445,Sarkhej Road,Ahmedabad,Gujarat,India,380007,1
446,Saroda,Ahmedabad,Gujarat,India,382260,1
447,Sarsavadi,Ahmedabad,Gujarat,India,382150,1
448,Satellite,Ahmedabad,Gujarat,India,380015,1
449,Sathal,Ahmedabad,Gujarat,India,382225,1
450,Science City,Ahmedabad,Gujarat,India,380060,1
451,Shah Alam Roza,Ahmedabad,Gujarat,India,380028,1
452,Shahibag,Ahmedabad,Gujarat,India,380004,1
453,Shahibaug,Ahmedabad,Gujarat,India,380004,1
454,Shahpur,Ahmedabad,Gujarat,India,382150,1
455,Shahpur,Ahmedabad,Gujarat,India,382250,1
456,Shahpur Ahmedabad,Ahmedabad,Gujarat,India,380004,1
457,Shahwadi,Ahmedabad,Gujarat,India,382405,1
458,Shardanagar,Ahmedabad,Gujarat,India,380007,1
459,Shastrinagar Ahmedabad,Ahmedabad,Gujarat,India,380013,1
460,Shela,Ahmedabad,Gujarat,India,380058,1
461,Sher,Ahmedabad,Gujarat,India,382130,1
462,Sherpura,Ahmedabad,Gujarat,India,382225,1
463,Shilaj,Ahmedabad,Gujarat,India,380059,1
464,Shivpura,Ahmedabad,Gujarat,India,382140,1
465,Shivranjani,Ahmedabad,Gujarat,India,382455,1
466,Shiyal,Ahmedabad,Gujarat,India,382230,1
